,City,City Latitude,City Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),City Country,City Datetime
272,tuktoyaktuk,63.1792,14.6357,39.65,39.65,100.0,75.0,4.61,SE,1634819343.0
273,buchanan,65.9702,-18.5286,35.53,35.53,73.0,87.0,7.02,IS,1634819344.0
274,lappeenranta,-34.0033,24.7314,79.88,79.88,38.0,30.0,11.36,ZA,1634819345.0
275,vaitape,64.5011,-165.4064,35.67,35.67,70.0,90.0,13.8,US,1634819347.0
276,traverse city,52.5252,11.3952,55.53,58.08,76.0,85.0,25.95,DE,1634819348.0
277,khatanga,-38.0023,-57.5575,62.22,62.62,94.0,0.0,11.99,AR,1634819349.0
278,zeya,3.1191,35.5973,95.63,95.63,27.0,33.0,17.18,KE,1634819351.0
279,tsabong,26.326,43.975,95.45,95.45,14.0,0.0,4.72,SA,1634819352.0
280,bushehr,32.3123,-106.7783,56.77,65.21,39.0,1.0,1.99,US,1634819353.0
281,sataua,22.5667,59.5289,89.47,89.47,47.0,5.0,5.55,OM,1634819354.0
282,roma,-13.8483,136.4192,84.07,84.07,79.0,14.0,6.91,AU,1634819355.0
283,sinnamary,41.9563,42.9566,60.37,60.37,50.0,3.0,3.78,GE,1634819356.0
284,mezen,-45.8667,-67.5,53.46,53.46,32.0,0.0,13.8,AR,1634819357.0
285,moissala,-41.0,145.7167,59.97,59.97,85.0,100.0,12.24,AU,1634819358.0
286,inderborskiy,-13.2,49.05,87.03,87.03,47.0,65.0,12.66,MG,1634819359.0
287,barentsburg,-28.783,32.0377,85.1,85.1,42.0,18.0,15.26,ZA,1634819360.0
288,port hedland,67.5447,133.385,7.84,7.84,98.0,86.0,3.74,RU,1634819362.0
289,opuwo,18.2164,42.5053,79.05,80.42,9.0,20.0,6.91,SA,1634819363.0
